quantile,step,layer,R,safe_blocked,safe_total,safe_block_rate,unsafe_blocked,unsafe_total,unsafe_block_rate,AUROC,AUPR,ASR_post,TP,FP,TN,FN
0.9,1,26,0.356,5,50,10.0,37,50,74.0,0.8736,0.8402,26.0,37,5,45,13
0.9,5,23,0.2164,5,50,10.0,44,50,88.0,0.932,0.9481,12.0,44,5,45,6
0.9,10,23,0.2215,5,50,10.0,43,50,86.0,0.9208,0.9292,14.0,43,5,45,7
0.9,15,22,0.2168,5,50,10.0,42,50,84.0,0.9076,0.9134,16.0,42,5,45,8
0.9,20,22,0.2158,5,50,10.0,42,50,84.0,0.9024,0.9001,16.0,42,5,45,8
0.9,25,22,0.2228,5,50,10.0,42,50,84.0,0.9088,0.9219,16.0,42,5,45,8
0.9,30,22,0.2253,5,50,10.0,42,50,84.0,0.9136,0.9239,16.0,42,5,45,8
0.95,1,26,0.3735,3,50,6.0,34,50,68.0,0.8736,0.8402,32.0,34,3,47,16
0.95,5,23,0.2412,3,50,6.0,40,50,80.0,0.932,0.9481,20.0,40,3,47,10
0.95,10,23,0.2447,3,50,6.0,38,50,76.0,0.9208,0.9292,24.0,38,3,47,12
0.95,15,22,0.2297,3,50,6.0,39,50,78.0,0.9076,0.9134,22.0,39,3,47,11
0.95,20,22,0.2359,3,50,6.0,38,50,76.0,0.9024,0.9001,24.0,38,3,47,12
0.95,25,22,0.2297,3,50,6.0,39,50,78.0,0.9088,0.9219,22.0,39,3,47,11
0.95,30,22,0.2359,3,50,6.0,40,50,80.0,0.9136,0.9239,20.0,40,3,47,10
0.98,1,26,0.3992,1,50,2.0,24,50,48.0,0.8736,0.8402,52.0,24,1,49,26
0.98,5,23,0.2574,1,50,2.0,33,50,66.0,0.932,0.9481,34.0,33,1,49,17
0.98,10,23,0.2553,1,50,2.0,31,50,62.0,0.9208,0.9292,38.0,31,1,49,19
0.98,15,22,0.2409,1,50,2.0,32,50,64.0,0.9076,0.9134,36.0,32,1,49,18
0.98,20,22,0.2442,1,50,2.0,30,50,60.0,0.9024,0.9001,40.0,30,1,49,20
0.98,25,22,0.2454,1,50,2.0,28,50,56.0,0.9088,0.9219,44.0,28,1,49,22
0.98,30,22,0.2406,1,50,2.0,37,50,74.0,0.9136,0.9239,26.0,37,1,49,13
0.99,1,26,0.4603,1,50,2.0,1,50,2.0,0.8736,0.8402,98.0,1,1,49,49
0.99,5,23,0.2575,1,50,2.0,33,50,66.0,0.932,0.9481,34.0,33,1,49,17
0.99,10,23,0.2648,1,50,2.0,24,50,48.0,0.9208,0.9292,52.0,24,1,49,26
0.99,15,22,0.2526,1,50,2.0,21,50,42.0,0.9076,0.9134,58.0,21,1,49,29
0.99,20,22,0.2572,1,50,2.0,17,50,34.0,0.9024,0.9001,66.0,17,1,49,33
0.99,25,22,0.2521,1,50,2.0,22,50,44.0,0.9088,0.9219,56.0,22,1,49,28
0.99,30,22,0.2505,1,50,2.0,28,50,56.0,0.9136,0.9239,44.0,28,1,49,22
